trade_date,open,high,low,close,adjusted_close,volume
2022-01-03,1200.0,1202.9933,1199.6942,1200.4903,1200.4903,1428388
2022-01-04,1200.4903,1205.2553,1199.8817,1203.4741,1203.4741,1585341
2022-01-05,1203.4741,1234.2226,1193.1025,1230.1236,1230.1236,2251167
2022-01-06,1230.1236,1243.0743,1205.4185,1205.7908,1205.7908,2721010
2022-01-07,1205.7908,1214.142,1197.2217,1199.8915,1199.8915,2188248
2022-01-10,1199.8915,1200.9717,1187.9693,1191.8409,1191.8409,2122325
2022-01-11,1191.8409,1195.4559,1169.1362,1178.0213,1178.0213,2136264
2022-01-12,1178.0213,1183.0889,1143.1687,1145.2564,1145.2564,1965172
2022-01-13,1145.2564,1150.1904,1139.6606,1144.1602,1144.1602,1917690
2022-01-14,1144.1602,1148.3721,1139.8204,1143.1993,1143.1993,2177536
2022-01-17,1143.1993,1153.7278,1142.7838,1150.199,1150.199,2273703
2022-01-18,1150.199,1170.4725,1143.8436,1162.2083,1162.2083,2082235
2022-01-19,1162.2083,1166.0647,1146.1856,1152.6197,1152.6197,1578898
2022-01-20,1152.6197,1168.7449,1150.9157,1166.961,1166.961,1693772
2022-01-21,1166.961,1172.5378,1139.45,1144.7468,1144.7468,2110072
2022-01-24,1144.7468,1148.3981,1143.7588,1145.3019,1145.3019,1337596
2022-01-25,1145.3019,1157.4287,1137.3046,1156.5632,1156.5632,2332228
2022-01-26,1156.5632,1158.5618,1148.8335,1153.9577,1153.9577,1937798
2022-01-27,1153.9577,1158.0517,1127.2482,1129.7725,1129.7725,1192282
2022-01-28,1129.7725,1131.1316,1124.465,1127.7034,1127.7034,1737929
2022-01-31,1127.7034,1130.298,1124.3842,1124.6394,1124.6394,1363566
2022-02-01,1124.6394,1127.7433,1103.0582,1108.8423,1108.8423,2132127
2022-02-02,1108.8423,1115.903,1106.4051,1111.1231,1111.1231,2034750
2022-02-03,1111.1231,1121.027,1103.5477,1120.6744,1120.6744,1516804
2022-02-04,1120.6744,1125.3935,1111.8446,1124.7838,1124.7838,2457719
2022-02-07,1124.7838,1130.6613,1123.8291,1125.7524,1125.7524,2089107
2022-02-08,1125.7524,1129.0157,1102.4613,1105.472,1105.472,2099129
2022-02-09,1105.472,1112.644,1104.0576,1109.9323,1109.9323,1106661
2022-02-10,1109.9323,1117.1464,1092.2524,1094.775,1094.775,2343820
2022-02-11,1094.775,1097.9352,1083.2989,1084.5982,1084.5982,1723363
2022-02-14,1084.5982,1100.8709,1072.9708,1100.1357,1100.1357,2291821
2022-02-15,1100.1357,1100.9206,1097.3475,1098.4019,1098.4019,2188489
2022-02-16,1098.4019,1112.3222,1096.1671,1108.5009,1108.5009,2245782
2022-02-17,1108.5009,1111.0573,1083.9887,1089.3943,1089.3943,1695239
2022-02-18,1089.3943,1095.4697,1078.0123,1087.6341,1087.6341,1681213
2022-02-21,1087.6341,1114.7339,1084.6459,1104.8817,1104.8817,2128215
2022-02-22,1104.8817,1107.9359,1093.2933,1098.6669,1098.6669,1842180
2022-02-23,1098.6669,1105.9852,1097.2931,1097.7412,1097.7412,1961018
2022-02-24,1097.7412,1127.7912,1092.6621,1122.9087,1122.9087,1307908
2022-02-25,1122.9087,1124.4176,1114.3423,1115.3515,1115.3515,2587642
2022-02-28,1115.3515,1121.5223,1112.7337,1120.3991,1120.3991,3153439
2022-03-01,1120.3991,1168.2764,1118.5396,1161.3517,1161.3517,1577634
2022-03-02,1161.3517,1166.4068,1156.1082,1165.8329,1165.8329,1440922
2022-03-03,1165.8329,1185.0101,1158.403,1182.5311,1182.5311,2533991
2022-03-04,1182.5311,1183.4137,1172.6362,1176.9137,1176.9137,1971734
2022-03-07,1176.9137,1182.9286,1155.4549,1160.6127,1160.6127,2147576
2022-03-08,1160.6127,1163.9799,1155.0468,1155.8631,1155.8631,2215180
2022-03-09,1155.8631,1158.0633,1136.2974,1139.4603,1139.4603,1619492
2022-03-10,1139.4603,1145.346,1135.9267,1144.3883,1144.3883,1853629
2022-03-11,1144.3883,1149.2145,1128.0919,1133.3134,1133.3134,1727167
2022-03-14,1133.3134,1163.7064,1132.6754,1156.4073,1156.4073,2484947
2022-03-15,1156.4073,1162.8109,1155.473,1156.1979,1156.1979,1701069
2022-03-16,1156.1979,1165.1469,1151.1895,1162.1202,1162.1202,1547357
2022-03-17,1162.1202,1183.9989,1160.572,1171.1998,1171.1998,3042965
2022-03-18,1171.1998,1178.2998,1168.8617,1177.8985,1177.8985,2399169
2022-03-21,1177.8985,1178.2745,1149.4775,1152.9549,1152.9549,1905868
2022-03-22,1152.9549,1161.3452,1146.7395,1157.6345,1157.6345,1836599
2022-03-23,1157.6345,1169.3945,1153.8017,1166.6902,1166.6902,1762630
2022-03-24,1166.6902,1177.9192,1146.1268,1153.3661,1153.3661,1420748
2022-03-25,1153.3661,1163.4864,1137.1668,1137.2585,1137.2585,1805472
2022-03-28,1137.2585,1170.1852,1134.9552,1165.7763,1165.7763,2309305
2022-03-29,1165.7763,1173.6269,1162.8902,1173.0068,1173.0068,2275468
2022-03-30,1173.0068,1182.9558,1167.9255,1181.5523,1181.5523,1891118
2022-03-31,1181.5523,1192.6823,1178.8895,1186.6901,1186.6901,2615689
2022-04-01,1186.6901,1186.7247,1176.0232,1178.2592,1178.2592,1848855
2022-04-04,1178.2592,1205.3521,1170.7551,1200.3879,1200.3879,1761147
2022-04-05,1200.3879,1203.3725,1193.9563,1196.5238,1196.5238,2532397
2022-04-06,1196.5238,1200.2811,1178.4558,1186.3716,1186.3716,2151412
2022-04-07,1186.3716,1187.5015,1180.7186,1181.3781,1181.3781,1726202
2022-04-08,1181.3781,1190.3567,1174.5516,1189.6842,1189.6842,2713350
2022-04-11,1189.6842,1202.9785,1187.4152,1197.0305,1197.0305,1845248
2022-04-12,1197.0305,1219.6315,1189.8377,1217.2384,1217.2384,1950702
2022-04-13,1217.2384,1226.549,1217.2267,1220.5958,1220.5958,1784841
2022-04-14,1220.5958,1229.4007,1219.4776,1226.3603,1226.3603,1612243
2022-04-15,1226.3603,1244.6649,1220.333,1242.2566,1242.2566,1883548
2022-04-18,1242.2566,1243.623,1224.4375,1224.7975,1224.7975,2423747
2022-04-19,1224.7975,1240.388,1218.6374,1238.0419,1238.0419,1441708
2022-04-20,1238.0419,1249.0169,1208.2441,1212.8821,1212.8821,1938402
2022-04-21,1212.8821,1217.0888,1211.1512,1214.1097,1214.1097,1967890
2022-04-22,1214.1097,1220.8376,1180.6333,1191.8532,1191.8532,1605173
2022-04-25,1191.8532,1195.3083,1182.7988,1183.1294,1183.1294,1724539
2022-04-26,1183.1294,1196.3822,1182.6842,1191.3709,1191.3709,2616772
2022-04-27,1191.3709,1195.9921,1168.6517,1169.5998,1169.5998,1942312
2022-04-28,1169.5998,1177.7966,1167.5375,1175.8137,1175.8137,2186004
2022-04-29,1175.8137,1185.015,1173.8961,1180.4986,1180.4986,2181032
2022-05-02,1180.4986,1194.3314,1180.1068,1184.5362,1184.5362,2771255
2022-05-03,1184.5362,1185.8807,1158.1346,1158.8783,1158.8783,1649954
2022-05-04,1158.8783,1168.7795,1156.5209,1163.8528,1163.8528,1745417
2022-05-05,1163.8528,1166.2212,1156.0572,1159.1563,1159.1563,1725229
2022-05-06,1159.1563,1173.5424,1151.702,1170.2769,1170.2769,1588202
2022-05-09,1170.2769,1175.747,1167.9024,1168.5875,1168.5875,1775598
2022-05-10,1168.5875,1192.6051,1166.8413,1188.1066,1188.1066,1368115
2022-05-11,1188.1066,1209.1864,1187.9261,1202.5791,1202.5791,2476811
2022-05-12,1202.5791,1214.6653,1197.4836,1208.6945,1208.6945,2514900
2022-05-13,1208.6945,1220.4878,1206.4055,1213.7603,1213.7603,1531253
2022-05-16,1213.7603,1225.3922,1212.6911,1219.4745,1219.4745,2205463
2022-05-17,1219.4745,1229.877,1218.44,1226.2767,1226.2767,1927839
2022-05-18,1226.2767,1234.9497,1223.6839,1233.9059,1233.9059,1695899
2022-05-19,1233.9059,1252.6692,1233.3846,1251.8111,1251.8111,1875223
2022-05-20,1251.8111,1261.9061,1247.0692,1253.9407,1253.9407,1372254
2022-05-23,1253.9407,1284.0108,1247.0625,1281.7609,1281.7609,2198678
2022-05-24,1281.7609,1302.3888,1279.0138,1298.1759,1298.1759,1830010
2022-05-25,1298.1759,1321.5094,1293.5641,1317.7574,1317.7574,1515096
2022-05-26,1317.7574,1337.6649,1310.3601,1322.5306,1322.5306,1697159
2022-05-27,1322.5306,1323.1622,1302.0707,1303.4689,1303.4689,2563326
2022-05-30,1303.4689,1304.9328,1286.2947,1297.1427,1297.1427,1445907
2022-05-31,1297.1427,1316.9396,1293.2817,1312.9688,1312.9688,2871483
2022-06-01,1312.9688,1322.5324,1301.4996,1304.3572,1304.3572,2000474
2022-06-02,1304.3572,1316.9413,1300.354,1316.7436,1316.7436,2298996
2022-06-03,1316.7436,1329.8045,1314.6367,1325.7164,1325.7164,1177311
2022-06-06,1325.7164,1352.7635,1324.4974,1350.4991,1350.4991,2344774
2022-06-07,1350.4991,1352.0275,1319.6047,1325.5704,1325.5704,1864014
2022-06-08,1325.5704,1327.6832,1315.3807,1320.7057,1320.7057,2084798
2022-06-09,1320.7057,1329.3256,1308.2435,1325.8635,1325.8635,1969347
2022-06-10,1325.8635,1331.3364,1309.6703,1310.9046,1310.9046,1872434
2022-06-13,1310.9046,1332.8095,1305.2434,1331.3303,1331.3303,2605163
2022-06-14,1331.3303,1356.6027,1326.2369,1352.9276,1352.9276,2681980
2022-06-15,1352.9276,1360.172,1329.9215,1331.7124,1331.7124,1344925
2022-06-16,1331.7124,1331.8403,1290.0259,1295.2241,1295.2241,2622763
2022-06-17,1295.2241,1315.2571,1293.2078,1300.3924,1300.3924,1366156
2022-06-20,1300.3924,1308.5625,1284.3871,1284.9372,1284.9372,1822375
2022-06-21,1284.9372,1288.4995,1284.2919,1287.8946,1287.8946,1559233
2022-06-22,1287.8946,1288.3993,1250.1208,1254.2376,1254.2376,2175025
2022-06-23,1254.2376,1263.9865,1253.3995,1259.9851,1259.9851,2078857
2022-06-24,1259.9851,1261.4352,1237.4066,1239.665,1239.665,2289009
2022-06-27,1239.665,1241.6702,1229.9722,1233.8488,1233.8488,2251958
2022-06-28,1233.8488,1240.1276,1211.509,1222.1166,1222.1166,2513110
2022-06-29,1222.1166,1228.8439,1200.6474,1204.072,1204.072,2117535
2022-06-30,1204.072,1219.4099,1193.7471,1207.2198,1207.2198,2451843
2022-07-01,1207.2198,1207.3367,1165.9657,1175.7376,1175.7376,2529487
2022-07-04,1175.7376,1212.6539,1174.7209,1206.8399,1206.8399,3123934
2022-07-05,1206.8399,1213.8665,1197.9013,1212.6231,1212.6231,1549744
2022-07-06,1212.6231,1213.573,1207.4657,1211.4324,1211.4324,1248132
2022-07-07,1211.4324,1213.3054,1193.3741,1196.1764,1196.1764,2096265
2022-07-08,1196.1764,1204.7701,1190.5772,1193.9775,1193.9775,1141479
2022-07-11,1193.9775,1196.5708,1144.3154,1145.401,1145.401,1734978
2022-07-12,1145.401,1172.4447,1142.3304,1171.7086,1171.7086,1266348
2022-07-13,1171.7086,1178.9256,1168.912,1170.3086,1170.3086,2404206
2022-07-14,1170.3086,1182.683,1165.6875,1176.742,1176.742,1899179
2022-07-15,1176.742,1181.0443,1155.3525,1165.3647,1165.3647,1555197
2022-07-18,1165.3647,1192.5501,1162.9005,1186.2178,1186.2178,2014382
2022-07-19,1186.2178,1215.3552,1184.197,1214.6304,1214.6304,2039550
2022-07-20,1214.6304,1218.5507,1200.1827,1202.241,1202.241,2490991
2022-07-21,1202.241,1238.9532,1197.956,1237.9717,1237.9717,2281899
2022-07-22,1237.9717,1240.7098,1221.6539,1225.7473,1225.7473,2134050
2022-07-25,1225.7473,1227.9206,1225.1437,1227.5224,1227.5224,2190461
2022-07-26,1227.5224,1231.071,1213.2739,1219.9235,1219.9235,1639115
2022-07-27,1219.9235,1228.1452,1206.55,1208.7076,1208.7076,1730646
2022-07-28,1208.7076,1212.8613,1201.2165,1207.6251,1207.6251,1541506
2022-07-29,1207.6251,1213.3401,1196.1024,1197.3607,1197.3607,1698694
2022-08-01,1197.3607,1211.7481,1193.0432,1197.9621,1197.9621,1964449
2022-08-02,1197.9621,1204.0977,1190.9483,1202.4604,1202.4604,2229658
2022-08-03,1202.4604,1212.2541,1194.8404,1206.3724,1206.3724,1989480
2022-08-04,1206.3724,1225.522,1201.4437,1224.3569,1224.3569,1936323
2022-08-05,1224.3569,1232.3111,1212.4579,1214.4473,1214.4473,2658002
2022-08-08,1214.4473,1230.5417,1205.634,1220.3884,1220.3884,1673288
2022-08-09,1220.3884,1238.9759,1216.8829,1234.5591,1234.5591,1533399
2022-08-10,1234.5591,1237.1785,1227.7106,1228.6842,1228.6842,2157544
2022-08-11,1228.6842,1236.2949,1218.8124,1233.4607,1233.4607,1348533
2022-08-12,1233.4607,1245.4802,1230.8395,1235.4018,1235.4018,1385549
2022-08-15,1235.4018,1236.6812,1218.8033,1221.6699,1221.6699,1952219
2022-08-16,1221.6699,1236.1723,1219.6,1235.3372,1235.3372,1747721
2022-08-17,1235.3372,1245.761,1228.6162,1243.2243,1243.2243,1161009
2022-08-18,1243.2243,1249.7584,1241.917,1243.7204,1243.7204,2402850
2022-08-19,1243.7204,1268.6398,1240.3783,1267.2684,1267.2684,2675622
2022-08-22,1267.2684,1271.2587,1254.4814,1265.5545,1265.5545,1922376
2022-08-23,1265.5545,1269.376,1253.6329,1255.5895,1255.5895,2503824
2022-08-24,1255.5895,1261.8871,1248.8258,1261.5934,1261.5934,1883293
2022-08-25,1261.5934,1266.6607,1243.1012,1246.1499,1246.1499,1590075
2022-08-26,1246.1499,1262.2534,1241.898,1259.1965,1259.1965,1379926
2022-08-29,1259.1965,1262.9098,1249.3866,1249.8386,1249.8386,1188889
2022-08-30,1249.8386,1250.3414,1233.6836,1234.5296,1234.5296,1772637
2022-08-31,1234.5296,1237.0607,1223.4275,1231.0217,1231.0217,1877646
2022-09-01,1231.0217,1243.3284,1229.5436,1240.8843,1240.8843,2246950
2022-09-02,1240.8843,1246.9697,1232.7549,1235.6792,1235.6792,2520491
2022-09-05,1235.6792,1245.0156,1230.7018,1241.4579,1241.4579,2477128
2022-09-06,1241.4579,1243.3666,1239.2857,1239.3592,1239.3592,2303879
2022-09-07,1239.3592,1239.7558,1225.2801,1228.297,1228.297,2174697
2022-09-08,1228.297,1234.1534,1222.6463,1224.7208,1224.7208,1158765
2022-09-09,1224.7208,1224.8163,1199.7091,1201.1799,1201.1799,2507433
2022-09-12,1201.1799,1205.1028,1187.7914,1196.2808,1196.2808,957693
2022-09-13,1196.2808,1215.4821,1189.2922,1215.1639,1215.1639,2057964
2022-09-14,1215.1639,1218.6262,1209.4854,1213.0622,1213.0622,1456352
2022-09-15,1213.0622,1220.8707,1207.7105,1217.4642,1217.4642,2431916
2022-09-16,1217.4642,1220.0519,1197.139,1201.2659,1201.2659,2270695
2022-09-19,1201.2659,1221.4909,1200.6348,1217.7284,1217.7284,2751388
2022-09-20,1217.7284,1220.8476,1213.3013,1218.8547,1218.8547,2303730
2022-09-21,1218.8547,1230.6083,1218.2992,1226.9246,1226.9246,3137544
2022-09-22,1226.9246,1245.4441,1213.2792,1215.7375,1215.7375,2348943
2022-09-23,1215.7375,1239.8334,1211.5825,1232.1703,1232.1703,1317233
2022-09-26,1232.1703,1257.6708,1231.088,1254.2655,1254.2655,1819093
2022-09-27,1254.2655,1258.3005,1231.7763,1240.322,1240.322,1205563
2022-09-28,1240.322,1249.5311,1234.5949,1241.1028,1241.1028,1981607
2022-09-29,1241.1028,1257.9551,1234.5354,1255.8592,1255.8592,1917851
2022-09-30,1255.8592,1276.3796,1254.7175,1271.4776,1271.4776,2147157
