trade_date,open,high,low,close,adjusted_close,volume
2022-01-03,1600.0,1613.1892,1597.7287,1611.313,1611.313,1298391
2022-01-04,1611.313,1613.5814,1588.6903,1592.7044,1592.7044,1964162
2022-01-05,1592.7044,1597.5317,1575.6375,1581.9239,1581.9239,1602785
2022-01-06,1581.9239,1613.3441,1580.9859,1603.1442,1603.1442,1434281
2022-01-07,1603.1442,1617.3519,1593.3913,1603.7148,1603.7148,2048104
2022-01-10,1603.7148,1611.656,1593.9569,1597.014,1597.014,1970480
2022-01-11,1597.014,1597.27,1573.0265,1573.3152,1573.3152,2256248
2022-01-12,1573.3152,1578.8816,1572.0797,1577.688,1577.688,2464075
2022-01-13,1577.688,1589.4088,1574.6586,1584.3898,1584.3898,2028211
2022-01-14,1584.3898,1587.6303,1578.1386,1578.4408,1578.4408,2530186
2022-01-17,1578.4408,1588.7098,1558.4814,1570.5025,1570.5025,2665427
2022-01-18,1570.5025,1570.6473,1550.6364,1557.6961,1557.6961,1818175
2022-01-19,1557.6961,1557.8569,1541.3292,1544.9772,1544.9772,1814921
2022-01-20,1544.9772,1558.228,1542.1767,1556.1038,1556.1038,1524648
2022-01-21,1556.1038,1579.1623,1547.5235,1571.285,1571.285,1997112
2022-01-24,1571.285,1586.5172,1555.4681,1565.6683,1565.6683,1862438
2022-01-25,1565.6683,1578.6885,1551.8014,1567.1651,1567.1651,1771132
2022-01-26,1567.1651,1584.2361,1563.4088,1572.9666,1572.9666,1732855
2022-01-27,1572.9666,1587.7314,1570.0823,1578.3532,1578.3532,1996145
2022-01-28,1578.3532,1601.7454,1575.197,1591.2166,1591.2166,2103166
2022-01-31,1591.2166,1609.9095,1585.6617,1598.2487,1598.2487,2726727
2022-02-01,1598.2487,1600.2057,1587.5433,1594.0515,1594.0515,1509819
2022-02-02,1594.0515,1624.2178,1593.3937,1617.2916,1617.2916,2447980
2022-02-03,1617.2916,1623.1082,1597.7489,1601.9647,1601.9647,1600169
2022-02-04,1601.9647,1613.0887,1571.0917,1580.3151,1580.3151,2808741
2022-02-07,1580.3151,1584.0657,1541.0782,1548.6421,1548.6421,2034214
2022-02-08,1548.6421,1563.0054,1546.9845,1558.3815,1558.3815,2005725
2022-02-09,1558.3815,1572.5675,1555.6607,1564.0,1564.0,1598846
2022-02-10,1564.0,1565.0322,1542.1971,1542.3461,1542.3461,1996411
2022-02-11,1542.3461,1562.2038,1534.9446,1555.448,1555.448,2461038
2022-02-14,1555.448,1562.7598,1520.6685,1524.9868,1524.9868,1481939
2022-02-15,1524.9868,1563.3177,1524.3649,1562.0804,1562.0804,2269639
2022-02-16,1562.0804,1564.6097,1552.0609,1563.682,1563.682,2028056
2022-02-17,1563.682,1567.1546,1538.9326,1539.0626,1539.0626,2245918
2022-02-18,1539.0626,1544.2297,1516.8837,1517.7422,1517.7422,1911726
2022-02-21,1517.7422,1520.1598,1507.3671,1519.8418,1519.8418,2206968
2022-02-22,1519.8418,1538.6887,1518.8058,1529.9334,1529.9334,1506134
2022-02-23,1529.9334,1536.5249,1520.7342,1527.2858,1527.2858,2290687
2022-02-24,1527.2858,1527.4247,1518.4321,1521.1804,1521.1804,1603224
2022-02-25,1521.1804,1521.2772,1509.9072,1518.6093,1518.6093,2360923
2022-02-28,1518.6093,1528.1591,1514.3724,1522.6365,1522.6365,2181374
2022-03-01,1522.6365,1537.9377,1508.5339,1510.1156,1510.1156,2689881
2022-03-02,1510.1156,1523.2487,1508.4019,1517.7257,1517.7257,1764539
2022-03-03,1517.7257,1518.1085,1501.3391,1507.3655,1507.3655,2720531
2022-03-04,1507.3655,1511.2754,1501.4804,1505.0726,1505.0726,2127349
2022-03-07,1505.0726,1511.8214,1494.1568,1498.2358,1498.2358,2457271
2022-03-08,1498.2358,1529.8527,1490.1465,1526.5589,1526.5589,1620759
2022-03-09,1526.5589,1527.0459,1488.6397,1501.7478,1501.7478,2256127
2022-03-10,1501.7478,1504.9452,1483.7369,1490.0943,1490.0943,1918656
2022-03-11,1490.0943,1539.0077,1488.57,1532.0877,1532.0877,1881280
2022-03-14,1532.0877,1534.1611,1517.9114,1528.4474,1528.4474,1448633
2022-03-15,1528.4474,1534.0307,1517.2343,1517.8782,1517.8782,1609145
2022-03-16,1517.8782,1564.2753,1516.6644,1561.2511,1561.2511,1787358
2022-03-17,1561.2511,1606.6953,1551.065,1601.1888,1601.1888,2446899
2022-03-18,1601.1888,1603.4761,1578.3386,1582.4628,1582.4628,2366115
2022-03-21,1582.4628,1589.9716,1572.2983,1576.0814,1576.0814,2491002
2022-03-22,1576.0814,1576.9221,1564.7422,1564.9988,1564.9988,2490905
2022-03-23,1564.9988,1594.0731,1560.1019,1592.5079,1592.5079,2731646
2022-03-24,1592.5079,1615.5499,1591.4618,1604.3499,1604.3499,2648628
2022-03-25,1604.3499,1618.5211,1576.9338,1580.8382,1580.8382,2842646
2022-03-28,1580.8382,1582.8131,1562.3359,1567.9425,1567.9425,2188645
2022-03-29,1567.9425,1605.0839,1565.5227,1587.4062,1587.4062,1956625
2022-03-30,1587.4062,1590.5976,1551.1133,1562.446,1562.446,2350337
2022-03-31,1562.446,1564.3475,1555.6679,1560.8658,1560.8658,1629166
2022-04-01,1560.8658,1565.2892,1559.3594,1565.1033,1565.1033,1698145
2022-04-04,1565.1033,1601.3225,1561.8167,1595.9257,1595.9257,1732038
2022-04-05,1595.9257,1599.1978,1593.0165,1598.9146,1598.9146,2125002
2022-04-06,1598.9146,1641.2163,1592.8098,1626.6263,1626.6263,2301069
2022-04-07,1626.6263,1638.3439,1623.4364,1634.8475,1634.8475,2152101
2022-04-08,1634.8475,1665.5613,1622.7241,1663.5889,1663.5889,2413213
2022-04-11,1663.5889,1695.705,1657.2548,1685.0269,1685.0269,2685210
2022-04-12,1685.0269,1695.0208,1668.3216,1677.0498,1677.0498,1809732
2022-04-13,1677.0498,1690.9265,1671.6212,1678.4402,1678.4402,1943538
2022-04-14,1678.4402,1681.6399,1668.8451,1677.1322,1677.1322,2164594
2022-04-15,1677.1322,1688.159,1674.6205,1687.9712,1687.9712,2205967
2022-04-18,1687.9712,1719.9229,1675.0486,1710.9825,1710.9825,2759689
2022-04-19,1710.9825,1714.9391,1703.5477,1706.7298,1706.7298,2131034
2022-04-20,1706.7298,1738.5131,1693.4757,1730.005,1730.005,2482756
2022-04-21,1730.005,1735.6687,1708.5211,1715.6202,1715.6202,1550799
2022-04-22,1715.6202,1730.7541,1700.6741,1708.4084,1708.4084,2213659
2022-04-25,1708.4084,1720.3545,1703.8425,1719.2765,1719.2765,2522415
2022-04-26,1719.2765,1760.3512,1716.9266,1756.648,1756.648,833344
2022-04-27,1756.648,1760.9257,1746.6991,1760.2253,1760.2253,1852123
2022-04-28,1760.2253,1780.1814,1756.5632,1774.6228,1774.6228,2429993
2022-04-29,1774.6228,1782.0506,1740.6728,1761.6146,1761.6146,2136258
2022-05-02,1761.6146,1774.5036,1744.1498,1746.4007,1746.4007,1995121
2022-05-03,1746.4007,1753.0352,1699.3933,1702.0682,1702.0682,1926309
2022-05-04,1702.0682,1711.5174,1685.9535,1691.9633,1691.9633,2043436
2022-05-05,1691.9633,1710.3802,1681.1057,1707.0405,1707.0405,2310095
2022-05-06,1707.0405,1726.5579,1696.949,1721.9363,1721.9363,2540947
2022-05-09,1721.9363,1735.9031,1715.7633,1735.6622,1735.6622,2822297
2022-05-10,1735.6622,1737.5666,1730.7462,1733.4826,1733.4826,2523220
2022-05-11,1733.4826,1769.4878,1726.645,1760.9164,1760.9164,2436654
2022-05-12,1760.9164,1764.0823,1746.8602,1755.5941,1755.5941,2109389
2022-05-13,1755.5941,1755.612,1749.065,1753.1071,1753.1071,1673782
2022-05-16,1753.1071,1754.1705,1736.0513,1739.4068,1739.4068,1656201
2022-05-17,1739.4068,1744.687,1727.5494,1737.3745,1737.3745,1666643
2022-05-18,1737.3745,1738.3311,1718.4781,1722.5917,1722.5917,2439132
2022-05-19,1722.5917,1750.5113,1716.8668,1745.9446,1745.9446,1576986
2022-05-20,1745.9446,1753.8805,1742.7568,1746.238,1746.238,2103063
2022-05-23,1746.238,1751.5199,1734.2949,1744.1855,1744.1855,1703136
2022-05-24,1744.1855,1747.6556,1725.4952,1728.8975,1728.8975,1653791
2022-05-25,1728.8975,1734.9329,1724.8631,1730.8646,1730.8646,2363149
2022-05-26,1730.8646,1734.5735,1698.8832,1715.0787,1715.0787,2489193
2022-05-27,1715.0787,1721.9598,1685.1431,1691.2218,1691.2218,2086072
2022-05-30,1691.2218,1709.0002,1687.1259,1701.0948,1701.0948,2158188
2022-05-31,1701.0948,1705.0123,1684.4875,1685.2807,1685.2807,1548234
2022-06-01,1685.2807,1686.1106,1665.03,1665.81,1665.81,1200984
2022-06-02,1665.81,1677.1173,1664.4782,1675.7537,1675.7537,2272827
2022-06-03,1675.7537,1676.2497,1663.707,1665.9543,1665.9543,1496885
2022-06-06,1665.9543,1671.8268,1663.3204,1669.1126,1669.1126,1882855
2022-06-07,1669.1126,1685.1339,1667.7658,1682.0606,1682.0606,1523958
2022-06-08,1682.0606,1700.8005,1677.4175,1694.4048,1694.4048,1585199
2022-06-09,1694.4048,1718.2924,1690.5321,1713.1582,1713.1582,1874656
2022-06-10,1713.1582,1736.7044,1698.7185,1731.8291,1731.8291,1696266
2022-06-13,1731.8291,1742.2703,1729.6778,1732.9827,1732.9827,1591306
2022-06-14,1732.9827,1742.3079,1719.7135,1719.9681,1719.9681,1759050
2022-06-15,1719.9681,1745.4113,1716.4258,1735.2606,1735.2606,1251658
2022-06-16,1735.2606,1751.9367,1731.1015,1746.0421,1746.0421,2395049
2022-06-17,1746.0421,1781.8629,1743.1214,1781.6807,1781.6807,1794561
2022-06-20,1781.6807,1813.0789,1778.7161,1807.2247,1807.2247,2503982
2022-06-21,1807.2247,1811.0566,1785.9217,1793.4301,1793.4301,1722266
2022-06-22,1793.4301,1802.8137,1786.851,1800.5086,1800.5086,1931989
2022-06-23,1800.5086,1821.7567,1796.5972,1817.3802,1817.3802,1592213
2022-06-24,1817.3802,1821.1371,1800.2549,1803.1762,1803.1762,2810232
2022-06-27,1803.1762,1821.6826,1800.4681,1815.9926,1815.9926,2231961
2022-06-28,1815.9926,1818.9583,1784.6826,1788.2262,1788.2262,1971500
2022-06-29,1788.2262,1791.4677,1782.3847,1788.7496,1788.7496,2109511
2022-06-30,1788.7496,1841.863,1773.2232,1834.6808,1834.6808,2431403
2022-07-01,1834.6808,1839.3065,1816.7632,1831.3155,1831.3155,1682915
2022-07-04,1831.3155,1842.6603,1825.2259,1834.0214,1834.0214,1542045
2022-07-05,1834.0214,1864.9187,1831.1727,1857.9212,1857.9212,2187416
2022-07-06,1857.9212,1868.6237,1854.3626,1859.9755,1859.9755,1105228
2022-07-07,1859.9755,1895.0905,1855.1818,1887.2226,1887.2226,2262380
2022-07-08,1887.2226,1928.1059,1878.7699,1921.7446,1921.7446,1675174
2022-07-11,1921.7446,1963.663,1917.1152,1963.3796,1963.3796,2149402
2022-07-12,1963.3796,1983.4086,1961.9663,1981.9575,1981.9575,2177881
2022-07-13,1981.9575,1987.0133,1927.9584,1928.067,1928.067,1967146
2022-07-14,1928.067,1930.9382,1909.3576,1913.8427,1913.8427,2136028
2022-07-15,1913.8427,1935.6172,1913.0279,1929.3201,1929.3201,2053357
2022-07-18,1929.3201,1938.6099,1898.502,1907.7741,1907.7741,1710414
2022-07-19,1907.7741,1911.3418,1897.6639,1903.0944,1903.0944,2538076
2022-07-20,1903.0944,1908.2673,1847.7287,1867.0262,1867.0262,1520978
2022-07-21,1867.0262,1874.4626,1856.3288,1867.7506,1867.7506,2543914
2022-07-22,1867.7506,1875.8434,1857.1381,1870.376,1870.376,2333269
2022-07-25,1870.376,1899.0221,1852.7385,1889.6101,1889.6101,1905741
2022-07-26,1889.6101,1907.6835,1889.3518,1889.792,1889.792,2697310
2022-07-27,1889.792,1910.8419,1887.377,1905.5766,1905.5766,2244610
2022-07-28,1905.5766,1916.9147,1888.6302,1891.4427,1891.4427,2055753
2022-07-29,1891.4427,1937.1479,1879.3268,1924.1287,1924.1287,2387996
2022-08-01,1924.1287,1930.2347,1916.3895,1917.3791,1917.3791,1856893
2022-08-02,1917.3791,1922.4677,1913.2598,1922.3327,1922.3327,1836294
2022-08-03,1922.3327,1941.1855,1908.0486,1932.8111,1932.8111,1659337
2022-08-04,1932.8111,1936.844,1898.0248,1900.7103,1900.7103,1336255
2022-08-05,1900.7103,1901.7178,1881.1379,1881.2522,1881.2522,2572478
2022-08-08,1881.2522,1883.8397,1864.5008,1872.9738,1872.9738,2062646
2022-08-09,1872.9738,1885.0931,1853.1657,1877.0696,1877.0696,1727346
2022-08-10,1877.0696,1920.9473,1872.4047,1915.4365,1915.4365,2249675
2022-08-11,1915.4365,1937.3191,1907.4588,1927.8801,1927.8801,2062846
2022-08-12,1927.8801,1973.5822,1925.0407,1969.1263,1969.1263,1932461
2022-08-15,1969.1263,1973.3823,1967.2542,1968.8908,1968.8908,1781734
2022-08-16,1968.8908,1974.8092,1965.815,1973.6729,1973.6729,1777650
2022-08-17,1973.6729,2039.4743,1971.4608,2035.152,2035.152,1567396
2022-08-18,2035.152,2059.596,2030.7478,2056.6295,2056.6295,2120078
2022-08-19,2056.6295,2069.8295,2045.6895,2065.5358,2065.5358,1677682
2022-08-22,2065.5358,2080.9327,2049.8777,2052.4878,2052.4878,2404524
2022-08-23,2052.4878,2054.7893,2031.5628,2032.1733,2032.1733,1732039
2022-08-24,2032.1733,2039.8745,1996.6834,2014.9013,2014.9013,2522284
2022-08-25,2014.9013,2018.6962,1992.4242,2007.4855,2007.4855,1485428
2022-08-26,2007.4855,2035.1777,2004.2549,2025.5733,2025.5733,2185256
2022-08-29,2025.5733,2030.3439,1989.7412,2007.274,2007.274,2728002
2022-08-30,2007.274,2023.1076,2005.1576,2017.807,2017.807,1593047
2022-08-31,2017.807,2024.7779,2012.1956,2018.2095,2018.2095,2150162
2022-09-01,2018.2095,2023.0364,2005.4133,2019.8126,2019.8126,1480084
2022-09-02,2019.8126,2067.4855,2010.256,2063.7908,2063.7908,1864283
2022-09-05,2063.7908,2067.011,2058.589,2064.9778,2064.9778,2058930
2022-09-06,2064.9778,2070.1289,2049.9103,2050.2321,2050.2321,1646695
2022-09-07,2050.2321,2052.1744,2032.3475,2034.3111,2034.3111,1991289
2022-09-08,2034.3111,2070.703,2026.7941,2065.1612,2065.1612,1576234
2022-09-09,2065.1612,2076.5482,2052.786,2053.4596,2053.4596,1983905
2022-09-12,2053.4596,2061.2116,2046.0844,2049.3213,2049.3213,1358731
2022-09-13,2049.3213,2066.5011,2036.8746,2060.4983,2060.4983,2024550
2022-09-14,2060.4983,2084.6296,2048.979,2073.3472,2073.3472,1237920
2022-09-15,2073.3472,2074.6466,2036.2201,2040.1215,2040.1215,605787
2022-09-16,2040.1215,2052.6161,1989.9373,1993.9573,1993.9573,1381658
2022-09-19,1993.9573,2023.0991,1992.5107,2013.4879,2013.4879,1756101
2022-09-20,2013.4879,2016.8376,1987.2949,1991.5535,1991.5535,1342053
2022-09-21,1991.5535,2014.5912,1980.4127,2008.8229,2008.8229,2004899
2022-09-22,2008.8229,2055.0278,1996.1125,2048.674,2048.674,1544106
2022-09-23,2048.674,2049.661,2015.0015,2015.0884,2015.0884,1724490
2022-09-26,2015.0884,2020.1677,2013.3332,2018.8802,2018.8802,2180054
2022-09-27,2018.8802,2024.2514,1999.1534,2006.0174,2006.0174,1784820
2022-09-28,2006.0174,2009.1445,2005.6736,2006.4464,2006.4464,2095117
2022-09-29,2006.4464,2038.6004,2004.6199,2025.0489,2025.0489,2565383
2022-09-30,2025.0489,2029.6117,2018.9055,2026.4187,2026.4187,1657965
2022-10-03,2026.4187,2027.0691,1995.006,2002.8278,2002.8278,2101010
2022-10-04,2002.8278,2006.1833,1968.1165,1973.4782,1973.4782,2479680
2022-10-05,1973.4782,1982.8687,1934.7576,1935.0029,1935.0029,1671639
2022-10-06,1935.0029,1966.3863,1933.4273,1954.6737,1954.6737,1697781
2022-10-07,1954.6737,1959.8684,1942.4872,1944.4234,1944.4234,2056333
2022-10-10,1944.4234,1949.9589,1943.6911,1947.5879,1947.5879,2542695
2022-10-11,1947.5879,1971.7309,1937.2497,1969.9277,1969.9277,1890382
2022-10-12,1969.9277,1996.8628,1966.5654,1995.1203,1995.1203,2350037
2022-10-13,1995.1203,2035.4806,1983.5989,2025.8485,2025.8485,1944531
2022-10-14,2025.8485,2038.1735,2005.4596,2035.7948,2035.7948,1522760
2022-10-17,2035.7948,2066.9148,2027.2934,2062.8987,2062.8987,2340529
2022-10-18,2062.8987,2097.0558,2060.1812,2091.2018,2091.2018,1742056
