trade_date,open,high,low,close,adjusted_close,volume
2022-01-03,1100.0,1105.0294,1094.3898,1094.5962,1094.5962,2227189
2022-01-04,1094.5962,1122.3224,1091.5623,1113.435,1113.435,1714691
2022-01-05,1113.435,1115.4647,1091.3979,1096.7918,1096.7918,1931662
2022-01-06,1096.7918,1107.0406,1094.3044,1100.2895,1100.2895,2203403
2022-01-07,1100.2895,1102.3034,1100.2403,1101.6938,1101.6938,1927105
2022-01-10,1101.6938,1115.8855,1100.2026,1108.1875,1108.1875,2275324
2022-01-11,1108.1875,1118.8075,1101.4778,1112.0263,1112.0263,1781335
2022-01-12,1112.0263,1133.9632,1103.0957,1123.2147,1123.2147,1634318
2022-01-13,1123.2147,1131.963,1121.7292,1131.4524,1131.4524,1863124
2022-01-14,1131.4524,1136.2341,1123.6356,1130.1585,1130.1585,2585180
2022-01-17,1130.1585,1141.0805,1128.3252,1140.4478,1140.4478,1885940
2022-01-18,1140.4478,1163.7202,1135.7417,1157.7045,1157.7045,1519715
2022-01-19,1157.7045,1159.6472,1144.801,1145.6844,1145.6844,2275628
2022-01-20,1145.6844,1146.6414,1120.6838,1128.4432,1128.4432,2282275
2022-01-21,1128.4432,1135.612,1114.9714,1118.32,1118.32,2372199
2022-01-24,1118.32,1137.4969,1114.255,1132.2243,1132.2243,2049119
2022-01-25,1132.2243,1136.7621,1125.8901,1131.6903,1131.6903,1300844
2022-01-26,1131.6903,1136.5061,1117.2285,1134.5125,1134.5125,1351743
2022-01-27,1134.5125,1143.3728,1132.1528,1134.2947,1134.2947,1422860
2022-01-28,1134.2947,1145.8789,1126.2545,1137.8343,1137.8343,2346274
2022-01-31,1137.8343,1171.2264,1135.7266,1165.0986,1165.0986,2681073
2022-02-01,1165.0986,1171.0089,1140.6503,1153.7575,1153.7575,1957177
2022-02-02,1153.7575,1156.77,1139.5348,1142.3675,1142.3675,1553576
2022-02-03,1142.3675,1156.6651,1140.8275,1154.4313,1154.4313,1967092
2022-02-04,1154.4313,1156.5867,1138.3346,1142.8343,1142.8343,1284753
2022-02-07,1142.8343,1148.1838,1128.8813,1132.7462,1132.7462,2505344
2022-02-08,1132.7462,1137.6608,1102.932,1104.5167,1104.5167,1808117
2022-02-09,1104.5167,1112.6404,1101.9454,1108.0857,1108.0857,1819919
2022-02-10,1108.0857,1113.5895,1101.3615,1106.7969,1106.7969,1953099
2022-02-11,1106.7969,1118.3117,1096.2178,1111.4133,1111.4133,2360428
2022-02-14,1111.4133,1122.8173,1105.4022,1105.6449,1105.6449,2098297
2022-02-15,1105.6449,1113.5611,1100.6918,1109.1925,1109.1925,2189124
2022-02-16,1109.1925,1116.1789,1103.9963,1104.7272,1104.7272,2285490
2022-02-17,1104.7272,1106.5321,1103.1182,1104.5639,1104.5639,877469
2022-02-18,1104.5639,1121.4306,1101.2106,1120.4507,1120.4507,2536362
2022-02-21,1120.4507,1132.974,1116.7949,1128.2481,1128.2481,2363545
2022-02-22,1128.2481,1146.12,1121.3139,1142.1842,1142.1842,1874430
2022-02-23,1142.1842,1155.1488,1140.9357,1150.9387,1150.9387,2592922
2022-02-24,1150.9387,1164.27,1149.2954,1162.8055,1162.8055,1839033
2022-02-25,1162.8055,1172.4751,1162.1451,1166.729,1166.729,1936749
2022-02-28,1166.729,1183.0978,1164.7733,1180.2874,1180.2874,1944599
2022-03-01,1180.2874,1189.562,1170.2207,1170.9353,1170.9353,2802216
2022-03-02,1170.9353,1190.0096,1164.8666,1184.551,1184.551,2459365
2022-03-03,1184.551,1186.6911,1171.773,1174.687,1174.687,2139610
2022-03-04,1174.687,1178.681,1149.4019,1150.9761,1150.9761,1431579
2022-03-07,1150.9761,1152.7083,1135.3485,1136.4725,1136.4725,2481847
2022-03-08,1136.4725,1139.4395,1130.6581,1137.9057,1137.9057,1813207
2022-03-09,1137.9057,1144.6534,1126.9772,1129.2443,1129.2443,2243063
2022-03-10,1129.2443,1129.4509,1110.2346,1118.0216,1118.0216,1835901
2022-03-11,1118.0216,1124.1162,1114.7272,1116.9746,1116.9746,2442947
2022-03-14,1116.9746,1124.0486,1114.148,1122.6737,1122.6737,1760588
2022-03-15,1122.6737,1123.4359,1109.356,1114.8571,1114.8571,1278541
2022-03-16,1114.8571,1116.1761,1088.4155,1095.4317,1095.4317,1806578
2022-03-17,1095.4317,1114.0889,1094.1891,1111.9971,1111.9971,2229955
2022-03-18,1111.9971,1112.353,1066.1295,1075.1083,1075.1083,3109392
2022-03-21,1075.1083,1086.046,1073.0786,1085.6409,1085.6409,1975610
2022-03-22,1085.6409,1088.2877,1074.6143,1078.9845,1078.9845,2171573
2022-03-23,1078.9845,1105.9367,1078.3379,1104.2286,1104.2286,1619613
2022-03-24,1104.2286,1110.6931,1098.5762,1108.5296,1108.5296,1595722
2022-03-25,1108.5296,1108.5517,1103.2524,1103.3811,1103.3811,1805841
2022-03-28,1103.3811,1121.5025,1103.2457,1114.9868,1114.9868,2742189
2022-03-29,1114.9868,1122.2478,1103.9364,1121.1504,1121.1504,1434495
2022-03-30,1121.1504,1130.7743,1080.87,1089.0884,1089.0884,2367699
2022-03-31,1089.0884,1096.6612,1086.9445,1093.1207,1093.1207,2185893
2022-04-01,1093.1207,1115.6878,1091.9016,1110.5337,1110.5337,1709868
2022-04-04,1110.5337,1123.4114,1103.4765,1118.3164,1118.3164,2199453
2022-04-05,1118.3164,1122.5538,1080.0258,1080.4247,1080.4247,1442865
2022-04-06,1080.4247,1085.4246,1076.6904,1077.4778,1077.4778,1725306
2022-04-07,1077.4778,1109.5797,1074.7657,1102.7187,1102.7187,2654873
2022-04-08,1102.7187,1118.2626,1100.0436,1112.8331,1112.8331,1960035
2022-04-11,1112.8331,1117.9131,1105.1806,1117.4903,1117.4903,1590700
2022-04-12,1117.4903,1122.1936,1093.7314,1095.7134,1095.7134,2445620
2022-04-13,1095.7134,1111.0214,1087.4193,1108.866,1108.866,2448807
2022-04-14,1108.866,1111.6513,1096.4178,1101.9636,1101.9636,1919717
2022-04-15,1101.9636,1115.5343,1093.6122,1107.4383,1107.4383,1987583
2022-04-18,1107.4383,1120.889,1101.4157,1118.896,1118.896,948819
2022-04-19,1118.896,1120.2357,1112.0056,1113.6829,1113.6829,1894630
2022-04-20,1113.6829,1117.2147,1106.9376,1116.5232,1116.5232,2169988
2022-04-21,1116.5232,1143.561,1114.8561,1137.0264,1137.0264,2321162
2022-04-22,1137.0264,1140.7533,1110.3157,1113.7131,1113.7131,2151045
2022-04-25,1113.7131,1117.376,1102.3772,1105.5073,1105.5073,2837110
2022-04-26,1105.5073,1105.9635,1096.6358,1098.2314,1098.2314,1599355
2022-04-27,1098.2314,1101.7882,1082.5134,1083.2825,1083.2825,1802752
2022-04-28,1083.2825,1102.748,1077.5547,1102.3755,1102.3755,1777638
2022-04-29,1102.3755,1123.2552,1101.4227,1118.0339,1118.0339,2474628
2022-05-02,1118.0339,1119.1048,1094.3789,1100.7886,1100.7886,2136278
2022-05-03,1100.7886,1123.449,1100.483,1112.3215,1112.3215,1877998
2022-05-04,1112.3215,1123.2059,1106.2442,1122.3664,1122.3664,2448162
2022-05-05,1122.3664,1128.6963,1114.1451,1127.6285,1127.6285,1369422
2022-05-06,1127.6285,1132.3535,1126.5398,1131.4169,1131.4169,1991603
2022-05-09,1131.4169,1135.6146,1113.4784,1119.3021,1119.3021,2783450
2022-05-10,1119.3021,1123.9379,1105.2721,1117.1919,1117.1919,1649003
2022-05-11,1117.1919,1117.6389,1095.731,1097.553,1097.553,1934826
2022-05-12,1097.553,1115.5661,1092.0231,1114.793,1114.793,1987030
2022-05-13,1114.793,1124.0207,1110.596,1121.0526,1121.0526,1987321
2022-05-16,1121.0526,1131.2647,1120.952,1126.5183,1126.5183,1152154
2022-05-17,1126.5183,1132.1321,1119.5192,1120.3021,1120.3021,1675325
2022-05-18,1120.3021,1150.4011,1115.9136,1143.6188,1143.6188,2457347
2022-05-19,1143.6188,1146.2721,1139.6128,1141.7898,1141.7898,1484799
2022-05-20,1141.7898,1156.313,1141.4569,1154.747,1154.747,1465208
2022-05-23,1154.747,1158.5165,1140.277,1146.6899,1146.6899,2312337
2022-05-24,1146.6899,1177.4256,1145.6047,1172.8324,1172.8324,1520697
2022-05-25,1172.8324,1177.7228,1165.7368,1167.7967,1167.7967,1773281
2022-05-26,1167.7967,1167.9681,1159.6979,1162.7824,1162.7824,1086072
2022-05-27,1162.7824,1184.248,1153.9176,1180.7233,1180.7233,1245935
2022-05-30,1180.7233,1186.8708,1164.5097,1168.7293,1168.7293,2650730
2022-05-31,1168.7293,1197.8568,1164.9843,1195.753,1195.753,1617780
2022-06-01,1195.753,1210.8385,1191.538,1204.3473,1204.3473,2095337
2022-06-02,1204.3473,1230.3603,1204.0175,1222.0458,1222.0458,1709920
2022-06-03,1222.0458,1226.292,1192.0666,1194.4807,1194.4807,1952565
2022-06-06,1194.4807,1200.8017,1186.6533,1188.8134,1188.8134,1481786
2022-06-07,1188.8134,1192.7941,1164.2046,1167.0879,1167.0879,2125960
2022-06-08,1167.0879,1171.4256,1161.8503,1163.1405,1163.1405,1361481
2022-06-09,1163.1405,1163.3897,1147.382,1153.5816,1153.5816,2177885
2022-06-10,1153.5816,1166.079,1152.7091,1158.4506,1158.4506,1846481
2022-06-13,1158.4506,1159.6415,1152.8275,1154.0573,1154.0573,2148870
2022-06-14,1154.0573,1174.5747,1148.4531,1164.2501,1164.2501,1640865
2022-06-15,1164.2501,1167.1821,1152.689,1153.6849,1153.6849,2805582
2022-06-16,1153.6849,1156.012,1134.9916,1142.3236,1142.3236,1904493
2022-06-17,1142.3236,1150.298,1132.0376,1135.5416,1135.5416,2166662
2022-06-20,1135.5416,1166.3673,1134.2068,1163.9673,1163.9673,2220699
2022-06-21,1163.9673,1172.8309,1149.8283,1165.7464,1165.7464,1746287
2022-06-22,1165.7464,1166.178,1159.8132,1160.3237,1160.3237,2206136
2022-06-23,1160.3237,1160.7278,1152.8327,1153.0525,1153.0525,1418317
2022-06-24,1153.0525,1158.0326,1152.972,1154.1567,1154.1567,1705614
2022-06-27,1154.1567,1156.3389,1143.399,1146.5715,1146.5715,2082122
2022-06-28,1146.5715,1151.0328,1144.6127,1146.8519,1146.8519,2176302
2022-06-29,1146.8519,1161.0556,1145.3683,1149.3477,1149.3477,1293045
2022-06-30,1149.3477,1164.8317,1148.8038,1163.7191,1163.7191,2668755
2022-07-01,1163.7191,1186.1417,1159.9949,1178.5996,1178.5996,2243633
2022-07-04,1178.5996,1181.3322,1174.1851,1175.4939,1175.4939,1991193
2022-07-05,1175.4939,1183.4814,1165.739,1180.0105,1180.0105,2569375
2022-07-06,1180.0105,1221.5696,1174.85,1216.796,1216.796,1603686
2022-07-07,1216.796,1219.0423,1207.3837,1208.3678,1208.3678,2239303
2022-07-08,1208.3678,1225.2689,1208.0227,1222.0557,1222.0557,2569135
2022-07-11,1222.0557,1254.6852,1218.1902,1253.2425,1253.2425,1722961
2022-07-12,1253.2425,1273.8451,1250.7464,1273.6626,1273.6626,2032005
2022-07-13,1273.6626,1290.2923,1270.3971,1287.6434,1287.6434,2199704
2022-07-14,1287.6434,1289.4226,1261.6545,1269.3824,1269.3824,2140670
2022-07-15,1269.3824,1281.1813,1266.5802,1279.2123,1279.2123,2038277
2022-07-18,1279.2123,1295.4532,1272.1808,1289.1317,1289.1317,2374477
2022-07-19,1289.1317,1294.5568,1266.9238,1270.8523,1270.8523,2153670
2022-07-20,1270.8523,1284.0917,1263.261,1277.1868,1277.1868,2116489
2022-07-21,1277.1868,1283.9554,1272.0151,1273.5983,1273.5983,2684411
2022-07-22,1273.5983,1276.6673,1257.9461,1269.3935,1269.3935,2158865
2022-07-25,1269.3935,1306.3311,1264.5338,1300.5787,1300.5787,2443067
2022-07-26,1300.5787,1305.5156,1270.617,1270.8807,1270.8807,2920464
2022-07-27,1270.8807,1316.0049,1265.6481,1303.0639,1303.0639,2093736
2022-07-28,1303.0639,1305.5906,1278.5618,1281.8505,1281.8505,2044773
2022-07-29,1281.8505,1288.5169,1278.9224,1287.6896,1287.6896,1970249
2022-08-01,1287.6896,1291.602,1257.7355,1258.768,1258.768,2128087
2022-08-02,1258.768,1279.1068,1246.4199,1271.4834,1271.4834,2355536
2022-08-03,1271.4834,1278.1997,1267.7862,1268.6305,1268.6305,2204772
2022-08-04,1268.6305,1270.2327,1254.5415,1255.5421,1255.5421,2711266
2022-08-05,1255.5421,1268.7815,1249.7647,1262.3801,1262.3801,1988257
2022-08-08,1262.3801,1263.179,1247.5225,1257.9347,1257.9347,2052533
2022-08-09,1257.9347,1258.2273,1257.4792,1257.9108,1257.9108,1871958
2022-08-10,1257.9108,1259.0689,1244.0078,1254.3131,1254.3131,2037673
2022-08-11,1254.3131,1267.6815,1250.1162,1262.8711,1262.8711,2058837
2022-08-12,1262.8711,1264.3096,1246.7762,1252.5548,1252.5548,2497792
2022-08-15,1252.5548,1253.206,1231.9044,1244.1539,1244.1539,2022083
2022-08-16,1244.1539,1285.242,1238.9907,1276.4484,1276.4484,1962964
2022-08-17,1276.4484,1280.1532,1274.8228,1279.0932,1279.0932,2963409
2022-08-18,1279.0932,1281.9491,1268.1746,1269.5523,1269.5523,2455379
2022-08-19,1269.5523,1274.4417,1238.5395,1246.1237,1246.1237,1936920
2022-08-22,1246.1237,1273.5841,1238.3108,1268.143,1268.143,1315882
2022-08-23,1268.143,1275.0465,1243.735,1252.6283,1252.6283,1602825
2022-08-24,1252.6283,1262.0168,1252.1283,1257.0108,1257.0108,1944439
2022-08-25,1257.0108,1273.1331,1256.827,1264.4089,1264.4089,2602074
2022-08-26,1264.4089,1264.9802,1259.4929,1260.434,1260.434,2360782
2022-08-29,1260.434,1262.6852,1256.8566,1260.3755,1260.3755,2287685
2022-08-30,1260.3755,1274.5211,1259.3836,1267.3761,1267.3761,1972788
