trade_date,open,high,low,close,adjusted_close,volume
2022-01-03,1500.0,1501.3813,1481.6725,1486.0304,1486.0304,1940635
2022-01-04,1486.0304,1504.6932,1483.4827,1493.0402,1493.0402,2105215
2022-01-05,1493.0402,1496.4133,1483.4774,1490.5564,1490.5564,1483189
2022-01-06,1490.5564,1491.1753,1449.332,1451.3703,1451.3703,1661487
2022-01-07,1451.3703,1471.5908,1438.0674,1461.0616,1461.0616,1701225
2022-01-10,1461.0616,1468.9371,1455.5125,1459.6924,1459.6924,1500757
2022-01-11,1459.6924,1469.5611,1456.6768,1465.5053,1465.5053,1363237
2022-01-12,1465.5053,1465.7275,1439.4235,1439.6568,1439.6568,1900613
2022-01-13,1439.6568,1461.561,1438.4918,1455.7746,1455.7746,1966427
2022-01-14,1455.7746,1463.8105,1431.9082,1439.2323,1439.2323,2579718
2022-01-17,1439.2323,1448.9618,1419.0837,1428.7973,1428.7973,2576225
2022-01-18,1428.7973,1441.1867,1426.8598,1436.7714,1436.7714,1405696
2022-01-19,1436.7714,1440.3871,1433.5257,1438.9308,1438.9308,2251189
2022-01-20,1438.9308,1456.9549,1437.1959,1455.1999,1455.1999,1974546
2022-01-21,1455.1999,1462.0265,1453.4553,1453.8974,1453.8974,1483820
2022-01-24,1453.8974,1486.3167,1451.5869,1485.1301,1485.1301,2790454
2022-01-25,1485.1301,1490.55,1458.7833,1463.3132,1463.3132,2155615
2022-01-26,1463.3132,1483.1196,1461.7916,1478.1957,1478.1957,2135332
2022-01-27,1478.1957,1485.1445,1454.7032,1460.636,1460.636,2365450
2022-01-28,1460.636,1467.5793,1455.1109,1455.7191,1455.7191,2436670
2022-01-31,1455.7191,1475.5205,1452.2609,1463.8687,1463.8687,2199846
2022-02-01,1463.8687,1468.9122,1445.1428,1451.8836,1451.8836,1676428
2022-02-02,1451.8836,1452.1048,1439.7802,1443.5898,1443.5898,1944076
2022-02-03,1443.5898,1471.656,1439.815,1459.7875,1459.7875,2351366
2022-02-04,1459.7875,1497.131,1453.1846,1492.7036,1492.7036,2050038
2022-02-07,1492.7036,1493.7262,1474.0264,1477.7005,1477.7005,1908331
2022-02-08,1477.7005,1486.4305,1460.2125,1465.3563,1465.3563,1762262
2022-02-09,1465.3563,1481.0838,1453.3702,1478.2168,1478.2168,2484119
2022-02-10,1478.2168,1499.4509,1475.9617,1491.7813,1491.7813,1489588
2022-02-11,1491.7813,1495.9504,1482.5844,1486.6486,1486.6486,2110957
2022-02-14,1486.6486,1488.6204,1467.373,1471.7173,1471.7173,2097909
2022-02-15,1471.7173,1493.5089,1463.4425,1488.3567,1488.3567,2468109
2022-02-16,1488.3567,1488.6488,1456.8944,1459.6825,1459.6825,1471011
2022-02-17,1459.6825,1466.2199,1451.002,1455.7883,1455.7883,1933690
2022-02-18,1455.7883,1469.1168,1455.6341,1464.2541,1464.2541,2545945
2022-02-21,1464.2541,1464.6576,1459.7563,1464.2886,1464.2886,2075675
2022-02-22,1464.2886,1465.3305,1447.2026,1450.2777,1450.2777,1107085
2022-02-23,1450.2777,1467.5076,1449.6741,1456.7524,1456.7524,1617760
2022-02-24,1456.7524,1482.7256,1456.239,1472.6343,1472.6343,1807858
2022-02-25,1472.6343,1482.0572,1435.6946,1443.8386,1443.8386,1268827
2022-02-28,1443.8386,1446.2551,1422.3236,1423.8369,1423.8369,1785338
2022-03-01,1423.8369,1432.7311,1416.6335,1422.4654,1422.4654,2017080
2022-03-02,1422.4654,1427.1508,1411.4254,1424.9622,1424.9622,2152410
2022-03-03,1424.9622,1449.3447,1424.7364,1449.0477,1449.0477,2139103
2022-03-04,1449.0477,1457.4007,1428.8341,1429.1955,1429.1955,1709507
2022-03-07,1429.1955,1434.51,1416.9657,1419.7242,1419.7242,1874812
2022-03-08,1419.7242,1429.742,1400.636,1403.3848,1403.3848,1696955
2022-03-09,1403.3848,1404.2642,1394.3265,1397.0053,1397.0053,1988189
2022-03-10,1397.0053,1415.183,1389.0496,1411.8832,1411.8832,2340141
2022-03-11,1411.8832,1422.7745,1396.2764,1398.4399,1398.4399,1924332
2022-03-14,1398.4399,1415.0917,1393.2403,1409.9146,1409.9146,2265061
2022-03-15,1409.9146,1411.4385,1401.9834,1403.291,1403.291,1523694
2022-03-16,1403.291,1433.6025,1395.2972,1427.4274,1427.4274,2562842
2022-03-17,1427.4274,1442.1635,1420.0467,1434.4995,1434.4995,2530579
2022-03-18,1434.4995,1438.2064,1428.3195,1436.6393,1436.6393,1980402
2022-03-21,1436.6393,1437.8094,1434.6418,1437.4009,1437.4009,1581258
2022-03-22,1437.4009,1448.9919,1436.7521,1445.2588,1445.2588,2093063
2022-03-23,1445.2588,1453.1511,1437.6433,1451.487,1451.487,1640275
2022-03-24,1451.487,1458.5048,1448.76,1449.0213,1449.0213,2608750
2022-03-25,1449.0213,1460.3545,1447.7453,1456.7306,1456.7306,2329767
2022-03-28,1456.7306,1457.2147,1449.2936,1451.6933,1451.6933,1604928
2022-03-29,1451.6933,1461.9255,1444.3107,1458.7058,1458.7058,2620029
2022-03-30,1458.7058,1488.5761,1450.1162,1481.0921,1481.0921,1601582
2022-03-31,1481.0921,1484.0199,1464.0852,1469.0683,1469.0683,2402553
2022-04-01,1469.0683,1472.7526,1440.0354,1442.334,1442.334,2706705
2022-04-04,1442.334,1446.3564,1413.1455,1416.6442,1416.6442,1841703
2022-04-05,1416.6442,1424.0314,1401.7307,1410.7745,1410.7745,1969238
2022-04-06,1410.7745,1416.5643,1406.93,1416.3169,1416.3169,2092567
2022-04-07,1416.3169,1419.0363,1395.5722,1396.2721,1396.2721,2055386
2022-04-08,1396.2721,1424.4932,1396.2186,1421.0244,1421.0244,1566633
2022-04-11,1421.0244,1424.4486,1406.7408,1407.4882,1407.4882,1932306
2022-04-12,1407.4882,1410.3759,1404.8151,1410.3584,1410.3584,969885
2022-04-13,1410.3584,1420.2672,1404.6877,1417.6989,1417.6989,1920716
2022-04-14,1417.6989,1477.4093,1412.7857,1468.1465,1468.1465,1847849
2022-04-15,1468.1465,1488.6417,1458.7579,1487.5197,1487.5197,1835092
2022-04-18,1487.5197,1502.6231,1485.2209,1501.8201,1501.8201,2194553
2022-04-19,1501.8201,1505.7242,1484.5541,1488.9276,1488.9276,2326502
2022-04-20,1488.9276,1523.5033,1486.2444,1517.5728,1517.5728,2217888
2022-04-21,1517.5728,1522.1284,1508.6967,1510.4348,1510.4348,1286564
2022-04-22,1510.4348,1517.4474,1506.6543,1514.7987,1514.7987,2275850
2022-04-25,1514.7987,1516.4353,1495.3395,1504.5882,1504.5882,2419672
2022-04-26,1504.5882,1511.0285,1462.5832,1473.9744,1473.9744,1616877
2022-04-27,1473.9744,1475.0433,1456.5638,1460.5747,1460.5747,1767236
2022-04-28,1460.5747,1470.7614,1450.9711,1470.19,1470.19,2110409
2022-04-29,1470.19,1477.154,1444.1431,1446.9991,1446.9991,1818671
2022-05-02,1446.9991,1465.3875,1443.7854,1459.7509,1459.7509,2251039
2022-05-03,1459.7509,1466.3221,1456.4506,1465.7483,1465.7483,2034361
