trade_date,open,high,low,close,adjusted_close,volume
2022-01-03,450.0,464.0727,448.9372,462.8388,462.8388,2242517
2022-01-04,462.8388,465.9494,455.4026,456.0677,456.0677,1723606
2022-01-05,456.0677,457.766,444.5369,444.5969,444.5969,1353034
2022-01-06,444.5969,447.7603,439.1266,442.0258,442.0258,2175930
2022-01-07,442.0258,446.7676,441.8897,446.3288,446.3288,2111624
2022-01-10,446.3288,449.5166,445.791,448.1362,448.1362,2498558
2022-01-11,448.1362,449.4827,436.9199,439.2916,439.2916,1687306
2022-01-12,439.2916,441.7664,437.8695,439.8997,439.8997,2361732
2022-01-13,439.8997,448.619,438.3154,446.7223,446.7223,2413305
2022-01-14,446.7223,448.6243,443.0546,443.218,443.218,1794876
2022-01-17,443.218,447.3039,442.4656,446.738,446.738,1734271
2022-01-18,446.738,447.8909,441.3043,443.1664,443.1664,2275388
2022-01-19,443.1664,443.1714,436.5561,437.6737,437.6737,2296237
2022-01-20,437.6737,444.1828,437.034,443.6258,443.6258,2212438
2022-01-21,443.6258,446.0077,437.9989,439.2731,439.2731,2528801
2022-01-24,439.2731,450.1587,438.4962,449.7133,449.7133,2155228
2022-01-25,449.7133,452.8072,447.3678,452.2098,452.2098,1998178
2022-01-26,452.2098,455.1429,449.4521,450.929,450.929,1965673
2022-01-27,450.929,451.8035,450.5957,451.7797,451.7797,2024396
2022-01-28,451.7797,464.4243,448.9366,462.4951,462.4951,2224127
2022-01-31,462.4951,467.6799,461.519,465.1325,465.1325,1953812
2022-02-01,465.1325,466.6119,454.9833,457.3114,457.3114,2560611
2022-02-02,457.3114,458.376,454.5547,456.6125,456.6125,1675483
2022-02-03,456.6125,457.8388,449.3606,450.3403,450.3403,2635651
2022-02-04,450.3403,454.6965,450.1029,452.4252,452.4252,1403274
2022-02-07,452.4252,452.7345,445.5951,445.9889,445.9889,1749635
2022-02-08,445.9889,447.7752,442.7151,445.0945,445.0945,1759360
2022-02-09,445.0945,448.2025,435.2167,437.6353,437.6353,2306975
2022-02-10,437.6353,438.1453,434.9733,436.3257,436.3257,2075442
2022-02-11,436.3257,438.8888,429.5423,430.1999,430.1999,2440261
2022-02-14,430.1999,437.6173,430.0152,437.3252,437.3252,2256087
2022-02-15,437.3252,439.484,435.9821,438.8026,438.8026,2115540
2022-02-16,438.8026,440.1953,435.2776,435.5435,435.5435,1902061
2022-02-17,435.5435,436.2986,432.578,432.7765,432.7765,2328066
2022-02-18,432.7765,437.4998,431.6757,435.6321,435.6321,1170403
2022-02-21,435.6321,436.1549,434.6787,435.3871,435.3871,2211499
2022-02-22,435.3871,436.5821,425.6408,429.0827,429.0827,2110972
2022-02-23,429.0827,437.6492,428.5795,436.1435,436.1435,1554823
2022-02-24,436.1435,439.3099,434.7249,438.2408,438.2408,2821527
2022-02-25,438.2408,439.9182,436.903,438.3511,438.3511,2071914
2022-02-28,438.3511,438.9275,432.4854,433.6395,433.6395,1735093
2022-03-01,433.6395,438.6025,432.5368,437.0697,437.0697,2342695
2022-03-02,437.0697,437.0719,427.7759,428.5654,428.5654,2147641
2022-03-03,428.5654,431.3142,428.1666,430.6676,430.6676,2186316
2022-03-04,430.6676,431.1819,425.9534,427.2697,427.2697,1658923
2022-03-07,427.2697,429.3687,425.6603,427.1405,427.1405,1732096
2022-03-08,427.1405,427.2773,417.7309,420.8456,420.8456,2004114
2022-03-09,420.8456,422.8534,418.2137,421.7324,421.7324,1188720
2022-03-10,421.7324,427.4101,418.8981,423.8497,423.8497,2487214
2022-03-11,423.8497,424.0761,422.6456,424.0103,424.0103,1901949
2022-03-14,424.0103,425.0644,418.5387,419.1636,419.1636,2211666
2022-03-15,419.1636,420.1858,413.6672,414.9338,414.9338,1767765
2022-03-16,414.9338,417.8046,414.0914,417.7277,417.7277,2030985
2022-03-17,417.7277,425.9186,416.9962,421.6706,421.6706,1716691
2022-03-18,421.6706,425.4415,420.489,425.2514,425.2514,1762052
2022-03-21,425.2514,438.9124,424.1428,435.7772,435.7772,2078825
2022-03-22,435.7772,441.8026,434.6791,439.9221,439.9221,1848122
2022-03-23,439.9221,440.0975,437.3224,438.1678,438.1678,1579474
2022-03-24,438.1678,439.0657,431.4985,434.9482,434.9482,2362436
2022-03-25,434.9482,446.6396,432.9663,446.5232,446.5232,1453166
2022-03-28,446.5232,447.5236,439.1255,442.2523,442.2523,2377938
2022-03-29,442.2523,448.6413,441.593,448.1521,448.1521,2434565
2022-03-30,448.1521,448.5681,443.2209,445.0299,445.0299,2153262
2022-03-31,445.0299,445.5466,435.9163,437.2141,437.2141,2169167
2022-04-01,437.2141,439.1603,429.368,431.1073,431.1073,2068717
2022-04-04,431.1073,435.6611,430.1505,433.3468,433.3468,2187781
2022-04-05,433.3468,443.886,432.8194,442.6427,442.6427,1984669
2022-04-06,442.6427,446.6446,439.7568,441.9332,441.9332,1850112
2022-04-07,441.9332,442.916,438.8235,441.7553,441.7553,2457880
2022-04-08,441.7553,442.4001,438.8188,439.5442,439.5442,1382540
2022-04-11,439.5442,440.545,436.4064,437.0607,437.0607,1922354
2022-04-12,437.0607,438.8939,436.8933,436.9391,436.9391,1982319
2022-04-13,436.9391,445.3543,436.5782,442.859,442.859,2082788
2022-04-14,442.859,444.9646,440.6189,441.8536,441.8536,2680086
2022-04-15,441.8536,442.9634,438.4978,440.3887,440.3887,2269268
2022-04-18,440.3887,445.8293,439.3027,444.4722,444.4722,1622574
2022-04-19,444.4722,445.6658,439.5567,442.6077,442.6077,1569278
2022-04-20,442.6077,444.6554,442.2618,443.835,443.835,2563668
2022-04-21,443.835,450.6267,441.5311,450.5169,450.5169,1742800
2022-04-22,450.5169,460.2213,449.9302,458.8283,458.8283,2495789
2022-04-25,458.8283,462.4027,457.3256,460.25,460.25,1814723
2022-04-26,460.25,463.2737,459.1509,462.7986,462.7986,2361368
2022-04-27,462.7986,464.668,458.3976,460.6765,460.6765,2186272
2022-04-28,460.6765,464.1039,460.3038,460.5268,460.5268,2403821
2022-04-29,460.5268,462.4991,453.0947,453.7971,453.7971,2152245
2022-05-02,453.7971,459.3891,453.1833,455.9082,455.9082,2680348
2022-05-03,455.9082,458.6258,451.9019,458.2022,458.2022,1511112
2022-05-04,458.2022,459.726,455.9234,459.6324,459.6324,2158848
2022-05-05,459.6324,460.0882,456.577,456.9502,456.9502,2012209
2022-05-06,456.9502,459.9863,446.0112,446.3708,446.3708,2161402
2022-05-09,446.3708,449.598,443.1843,447.1391,447.1391,1740256
2022-05-10,447.1391,453.8614,446.3834,453.7575,453.7575,2319974
2022-05-11,453.7575,460.3971,451.7853,459.8259,459.8259,836867
2022-05-12,459.8259,461.2936,456.8595,460.4027,460.4027,2455196
2022-05-13,460.4027,467.2184,459.7173,465.8788,465.8788,2690645
2022-05-16,465.8788,469.5987,465.3601,466.9106,466.9106,2383739
2022-05-17,466.9106,474.8895,466.6615,472.4784,472.4784,2765806
2022-05-18,472.4784,473.3095,467.1731,468.762,468.762,1569894
2022-05-19,468.762,470.5081,459.4759,462.9961,462.9961,2217590
2022-05-20,462.9961,465.0081,458.4833,459.1157,459.1157,2718460
2022-05-23,459.1157,461.1823,456.3626,457.8873,457.8873,1760023
2022-05-24,457.8873,460.6042,452.2748,454.4221,454.4221,2414612
2022-05-25,454.4221,458.5225,453.8334,457.4708,457.4708,1348408
2022-05-26,457.4708,458.4304,453.1603,455.5868,455.5868,1950664
2022-05-27,455.5868,455.6809,450.4381,450.9394,450.9394,1856636
2022-05-30,450.9394,454.0213,446.4451,447.3264,447.3264,2422716
2022-05-31,447.3264,450.5883,447.3205,448.8355,448.8355,2217395
2022-06-01,448.8355,448.9787,443.5303,445.2305,445.2305,2110329
2022-06-02,445.2305,449.763,442.9542,449.612,449.612,1788963
