trade_date,open,high,low,close,adjusted_close,volume
2022-01-03,1800.0,1810.0027,1785.3285,1809.9815,1809.9815,2320387
2022-01-04,1809.9815,1812.4292,1794.8045,1797.2536,1797.2536,2159157
2022-01-05,1797.2536,1807.6925,1781.6867,1801.1463,1801.1463,1577448
2022-01-06,1801.1463,1806.0533,1799.3458,1805.9255,1805.9255,1734537
2022-01-07,1805.9255,1822.0281,1798.2918,1804.5831,1804.5831,2208035
2022-01-10,1804.5831,1842.4537,1798.8617,1838.3434,1838.3434,2117018
2022-01-11,1838.3434,1863.7939,1827.8822,1854.7842,1854.7842,2324652
2022-01-12,1854.7842,1873.5239,1853.5433,1873.0551,1873.0551,1308237
2022-01-13,1873.0551,1877.6411,1861.2496,1877.4174,1877.4174,2447583
2022-01-14,1877.4174,1881.0181,1872.7228,1876.0003,1876.0003,2383856
2022-01-17,1876.0003,1887.6389,1862.5199,1865.1352,1865.1352,1934136
2022-01-18,1865.1352,1865.9096,1818.2381,1826.8843,1826.8843,2404587
2022-01-19,1826.8843,1829.9958,1768.9194,1776.6223,1776.6223,1678147
2022-01-20,1776.6223,1804.4101,1771.5974,1795.8256,1795.8256,1611643
2022-01-21,1795.8256,1800.9096,1788.8798,1791.559,1791.559,2164371
2022-01-24,1791.559,1798.1317,1768.2715,1774.4764,1774.4764,2217456
2022-01-25,1774.4764,1779.2123,1758.731,1765.9843,1765.9843,2419024
2022-01-26,1765.9843,1773.6763,1752.954,1770.9002,1770.9002,2092038
2022-01-27,1770.9002,1787.5312,1761.1845,1773.5037,1773.5037,1817834
2022-01-28,1773.5037,1774.0959,1755.5453,1756.3721,1756.3721,1613536
2022-01-31,1756.3721,1780.3349,1755.9214,1778.0736,1778.0736,2267825
2022-02-01,1778.0736,1785.7227,1773.0231,1783.3907,1783.3907,2412287
2022-02-02,1783.3907,1801.4444,1773.2266,1800.5579,1800.5579,2156289
2022-02-03,1800.5579,1805.3268,1775.536,1796.0213,1796.0213,2577717
2022-02-04,1796.0213,1798.1025,1768.3862,1773.3014,1773.3014,1622503
2022-02-07,1773.3014,1774.2649,1748.1582,1754.7236,1754.7236,1718808
2022-02-08,1754.7236,1756.9619,1733.554,1734.0829,1734.0829,1935617
2022-02-09,1734.0829,1737.605,1707.597,1714.6736,1714.6736,2131590
2022-02-10,1714.6736,1725.0506,1711.226,1713.2693,1713.2693,2493678
2022-02-11,1713.2693,1718.2348,1693.093,1703.4297,1703.4297,2061536
2022-02-14,1703.4297,1721.7628,1701.7673,1716.4597,1716.4597,1451425
2022-02-15,1716.4597,1748.4405,1708.0381,1744.7407,1744.7407,2515169
2022-02-16,1744.7407,1770.807,1725.4495,1766.5233,1766.5233,1935450
