trade_date,open,high,low,close,adjusted_close,volume
2022-01-03,3400.0,3405.5839,3329.6764,3338.0908,3338.0908,1656503
2022-01-04,3338.0908,3413.9433,3337.2003,3409.1652,3409.1652,1833356
2022-01-05,3409.1652,3414.2144,3327.2567,3340.2642,3340.2642,1860442
2022-01-06,3340.2642,3350.5602,3306.237,3310.5978,3310.5978,1470779
2022-01-07,3310.5978,3335.001,3301.7809,3319.6722,3319.6722,1896942
2022-01-10,3319.6722,3349.6581,3256.8662,3257.4064,3257.4064,1610339
2022-01-11,3257.4064,3284.4621,3230.3931,3276.0013,3276.0013,2462569
2022-01-12,3276.0013,3311.4297,3264.033,3308.5533,3308.5533,1869210
2022-01-13,3308.5533,3318.0645,3264.1343,3291.4283,3291.4283,1853333
2022-01-14,3291.4283,3319.2311,3276.1429,3284.0172,3284.0172,2345531
2022-01-17,3284.0172,3385.7353,3258.55,3385.59,3385.59,1717033
2022-01-18,3385.59,3450.4087,3378.0129,3423.2494,3423.2494,2126601
2022-01-19,3423.2494,3434.5002,3376.266,3430.1556,3430.1556,2003177
2022-01-20,3430.1556,3471.0668,3418.7024,3462.9849,3462.9849,2575660
2022-01-21,3462.9849,3506.3214,3461.7934,3500.4032,3500.4032,1900530
2022-01-24,3500.4032,3531.4269,3496.8427,3523.1741,3523.1741,2726764
2022-01-25,3523.1741,3547.3207,3481.4061,3493.9662,3493.9662,2647760
2022-01-26,3493.9662,3506.6469,3489.6533,3491.0884,3491.0884,2000878
2022-01-27,3491.0884,3593.1629,3464.2263,3590.774,3590.774,1328966
2022-01-28,3590.774,3628.8824,3589.5415,3626.342,3626.342,2027318
2022-01-31,3626.342,3701.6067,3617.0925,3693.4567,3693.4567,2169119
2022-02-01,3693.4567,3706.4051,3692.7251,3698.67,3698.67,1724989
2022-02-02,3698.67,3724.958,3695.0156,3715.1719,3715.1719,1633691
2022-02-03,3715.1719,3760.7065,3680.6427,3729.0032,3729.0032,2533023
