trade_date,open,high,low,close,adjusted_close,volume
2022-01-03,22000.0,22010.8633,21993.0022,21997.1742,21997.1742,300796804
2022-01-04,21997.1742,22442.712,21982.5535,22318.0765,22318.0765,170995683
2022-01-05,22318.0765,22596.8731,22293.0022,22422.314,22422.314,232141207
2022-01-06,22422.314,22959.3002,22383.8612,22872.4727,22872.4727,290417332
2022-01-07,22872.4727,23156.5666,22805.0465,23122.1687,23122.1687,211196486
2022-01-10,23122.1687,23230.5839,22932.7374,23002.6194,23002.6194,257086149
2022-01-11,23002.6194,23579.9164,22865.8809,23571.5193,23571.5193,217586608
2022-01-12,23571.5193,23916.9159,23505.6292,23803.985,23803.985,249027820
2022-01-13,23803.985,24153.156,23617.5345,24075.4162,24075.4162,311175031
2022-01-14,24075.4162,24087.6206,23906.9259,23932.233,23932.233,226011960
2022-01-17,23932.233,23957.7132,23852.0997,23914.7209,23914.7209,252153304
2022-01-18,23914.7209,23955.1897,23800.1494,23883.8232,23883.8232,300777269
2022-01-19,23883.8232,24166.5547,23729.1632,24127.5554,24127.5554,277239430
2022-01-20,24127.5554,24690.3246,24023.7925,24618.5423,24618.5423,273844971
2022-01-21,24618.5423,25108.9909,24532.4157,24968.035,24968.035,298587923
2022-01-24,24968.035,25074.0359,24312.4359,24495.9727,24495.9727,193138143
2022-01-25,24495.9727,24623.7768,24444.0042,24615.7147,24615.7147,318715851
2022-01-26,24615.7147,24844.087,24501.0812,24729.0445,24729.0445,162620075
2022-01-27,24729.0445,24794.7294,24633.3446,24643.3195,24643.3195,317380381
2022-01-28,24643.3195,24876.6073,24203.4042,24351.2062,24351.2062,235500165
2022-01-31,24351.2062,24466.4647,24010.1606,24072.1173,24072.1173,252470081
2022-02-01,24072.1173,24392.1075,23967.6684,24211.7833,24211.7833,283123235
2022-02-02,24211.7833,24254.6482,24145.8807,24205.4417,24205.4417,280946283
2022-02-03,24205.4417,24321.3107,24187.5313,24306.5572,24306.5572,257738878
2022-02-04,24306.5572,24463.3824,23985.7337,24192.0283,24192.0283,221750012
2022-02-07,24192.0283,24192.3483,24023.2093,24106.5234,24106.5234,213413955
2022-02-08,24106.5234,24550.2318,23935.8306,24325.0588,24325.0588,293467048
2022-02-09,24325.0588,24424.1323,24237.6554,24242.8676,24242.8676,289148620
2022-02-10,24242.8676,24499.0491,24189.5253,24495.6069,24495.6069,263273496
2022-02-11,24495.6069,24503.1178,24438.2984,24455.0896,24455.0896,239624106
2022-02-14,24455.0896,24618.302,24438.4701,24489.5767,24489.5767,252660955
2022-02-15,24489.5767,24884.3775,24401.5192,24883.9342,24883.9342,284246450
2022-02-16,24883.9342,25271.7874,24855.2246,25178.6558,25178.6558,226630640
2022-02-17,25178.6558,25214.043,24967.8249,24973.8005,24973.8005,300286771
2022-02-18,24973.8005,25044.8899,24949.2464,25021.9115,25021.9115,225685723
2022-02-21,25021.9115,25190.0003,24899.0059,24918.8716,24918.8716,220237016
2022-02-22,24918.8716,24989.1795,24611.5338,24682.7625,24682.7625,325752592
2022-02-23,24682.7625,24941.8174,24617.619,24828.0604,24828.0604,253918808
2022-02-24,24828.0604,25220.6418,24804.0319,25015.2122,25015.2122,270723311
2022-02-25,25015.2122,25454.2654,24962.9777,25249.7532,25249.7532,176152423
2022-02-28,25249.7532,25327.146,24783.1219,24838.6881,24838.6881,316636789
2022-03-01,24838.6881,25166.2264,24722.7901,25061.304,25061.304,311247279
2022-03-02,25061.304,25401.63,25014.2797,25324.4475,25324.4475,223931233
2022-03-03,25324.4475,25490.1634,25225.6919,25474.9876,25474.9876,234938441
2022-03-04,25474.9876,26079.6853,25378.4189,25946.4964,25946.4964,228512977
2022-03-07,25946.4964,26382.0248,25823.6181,26363.2139,26363.2139,251674721
2022-03-08,26363.2139,26448.7759,26087.3496,26225.2688,26225.2688,235087623
2022-03-09,26225.2688,26454.5089,26199.1528,26430.2341,26430.2341,288537270
