trade_date,open,high,low,close,adjusted_close,volume
2022-01-03,48000.0,48034.1839,47997.4572,48004.0086,48004.0086,243213258
2022-01-04,48004.0086,48113.9448,47983.7354,48073.64,48073.64,208775979
2022-01-05,48073.64,48160.2466,47819.8428,47864.5039,47864.5039,225908059
2022-01-06,47864.5039,48483.483,47788.4695,48371.2662,48371.2662,261483473
2022-01-07,48371.2662,48508.0001,47710.7779,47733.4206,47733.4206,249536349
2022-01-10,47733.4206,48685.764,47422.2459,48581.8778,48581.8778,147625669
2022-01-11,48581.8778,49181.1563,48302.3825,48832.2398,48832.2398,268207434
2022-01-12,48832.2398,49474.164,48821.2593,49233.2278,49233.2278,283124307
2022-01-13,49233.2278,49309.099,48916.22,49180.5604,49180.5604,253480900
2022-01-14,49180.5604,49349.7105,48634.5941,48672.4025,48672.4025,289980543
2022-01-17,48672.4025,49139.4323,48621.6705,48684.6495,48684.6495,254790951
2022-01-18,48684.6495,48996.5966,48501.3696,48982.8873,48982.8873,313309900
2022-01-19,48982.8873,49296.1153,48588.9774,48645.4024,48645.4024,234321951
2022-01-20,48645.4024,49366.5756,48469.8058,49288.1934,49288.1934,169987731
2022-01-21,49288.1934,49544.2149,49009.6304,49440.1668,49440.1668,256882725
2022-01-24,49440.1668,49453.1444,48348.8089,48390.8642,48390.8642,219682559
2022-01-25,48390.8642,48447.0041,48162.1267,48337.9592,48337.9592,267342189
2022-01-26,48337.9592,48727.064,48313.0133,48461.0874,48461.0874,280201739
2022-01-27,48461.0874,49111.3183,48451.4516,48875.4182,48875.4182,262384402
2022-01-28,48875.4182,48911.7198,48476.8419,48548.2334,48548.2334,240196917
2022-01-31,48548.2334,48779.3167,47721.3938,47734.502,47734.502,254867198
2022-02-01,47734.502,47983.3406,47400.5872,47406.8566,47406.8566,301261799
2022-02-02,47406.8566,47481.3988,46828.8504,47063.2098,47063.2098,280696124
2022-02-03,47063.2098,47132.2141,46671.7727,46826.3066,46826.3066,252943014
2022-02-04,46826.3066,47133.8181,46702.457,46927.5371,46927.5371,267573146
2022-02-07,46927.5371,47846.6076,46679.3577,47831.9629,47831.9629,203204876
2022-02-08,47831.9629,47907.106,47288.9978,47377.1321,47377.1321,273547477
2022-02-09,47377.1321,47831.8898,47352.4356,47578.2464,47578.2464,213121075
2022-02-10,47578.2464,48943.1194,47413.9453,48803.9637,48803.9637,259077722
2022-02-11,48803.9637,49078.4666,48035.5457,48131.0853,48131.0853,286943656
2022-02-14,48131.0853,48419.3788,47926.0459,48346.424,48346.424,282342157
2022-02-15,48346.424,49215.672,48292.4049,49111.8976,49111.8976,226868380
2022-02-16,49111.8976,49687.2586,48921.5829,49262.4889,49262.4889,243612544
2022-02-17,49262.4889,49469.9445,48518.2225,48806.2232,48806.2232,228554568
2022-02-18,48806.2232,48836.0959,47603.9427,48086.7826,48086.7826,291048362
