trade_date,open,high,low,close,adjusted_close,volume
2022-01-03,2400.0,2415.7741,2397.3888,2403.5849,2403.5849,1438551
2022-01-04,2403.5849,2429.2911,2387.7177,2423.0958,2423.0958,2272925
2022-01-05,2423.0958,2443.5179,2416.9257,2427.2531,2427.2531,1984013
2022-01-06,2427.2531,2435.3248,2401.5067,2410.8547,2410.8547,1502667
2022-01-07,2410.8547,2431.8093,2406.1413,2423.3332,2423.3332,2189291
2022-01-10,2423.3332,2430.1655,2402.5135,2409.6061,2409.6061,1990651
2022-01-11,2409.6061,2445.1902,2405.6237,2444.5976,2444.5976,2335982
2022-01-12,2444.5976,2445.865,2396.8931,2411.8476,2411.8476,1985542
2022-01-13,2411.8476,2435.6699,2410.2359,2427.8032,2427.8032,2390363
2022-01-14,2427.8032,2456.959,2417.4264,2447.9067,2447.9067,1297956
2022-01-17,2447.9067,2480.5667,2438.5557,2472.5988,2472.5988,2500120
2022-01-18,2472.5988,2504.1844,2467.7481,2490.7626,2490.7626,2664861
2022-01-19,2490.7626,2513.1384,2488.1979,2504.937,2504.937,1899284
2022-01-20,2504.937,2504.9847,2483.8288,2487.7188,2487.7188,1408988
2022-01-21,2487.7188,2509.3832,2477.5327,2507.2808,2507.2808,1911184
2022-01-24,2507.2808,2509.9009,2457.2051,2466.816,2466.816,2244437
2022-01-25,2466.816,2479.2219,2442.4646,2451.1181,2451.1181,1655879
2022-01-26,2451.1181,2464.6538,2404.5052,2422.9315,2422.9315,1888643
2022-01-27,2422.9315,2428.5234,2380.5969,2394.4949,2394.4949,2266214
2022-01-28,2394.4949,2396.4254,2376.2151,2378.5603,2378.5603,1588106
2022-01-31,2378.5603,2378.9838,2358.8036,2362.2062,2362.2062,2424896
2022-02-01,2362.2062,2377.4165,2349.1971,2376.1208,2376.1208,1954487
2022-02-02,2376.1208,2427.205,2368.1532,2415.1782,2415.1782,1341303
2022-02-03,2415.1782,2431.9173,2405.7148,2431.7372,2431.7372,1899849
2022-02-04,2431.7372,2474.2254,2427.0144,2462.6173,2462.6173,1769794
2022-02-07,2462.6173,2492.0411,2458.5355,2479.0965,2479.0965,1887485
2022-02-08,2479.0965,2496.8066,2458.6722,2459.6955,2459.6955,1548116
2022-02-09,2459.6955,2513.831,2449.8928,2500.3961,2500.3961,1762854
2022-02-10,2500.3961,2518.1667,2499.5041,2517.5061,2517.5061,1842983
2022-02-11,2517.5061,2522.5138,2510.317,2520.5648,2520.5648,1788223
2022-02-14,2520.5648,2537.407,2518.6236,2530.0281,2530.0281,2097463
2022-02-15,2530.0281,2562.1916,2509.7196,2556.0974,2556.0974,2534345
