trade_date,open,high,low,close,adjusted_close,volume
2022-01-03,750.0,751.1097,742.3684,750.2337,750.2337,2566436
2022-01-04,750.2337,750.6444,746.4974,750.2183,750.2183,2828801
2022-01-05,750.2183,753.2412,749.9109,751.3977,751.3977,2097852
2022-01-06,751.3977,761.2575,746.9833,759.9412,759.9412,1493600
2022-01-07,759.9412,770.0214,757.754,769.149,769.149,2323478
2022-01-10,769.149,769.9321,758.968,759.9422,759.9422,1468353
2022-01-11,759.9422,763.832,754.931,763.2241,763.2241,2547680
2022-01-12,763.2241,764.3974,745.2148,749.4196,749.4196,2068857
2022-01-13,749.4196,761.1557,747.6064,758.1682,758.1682,2006451
2022-01-14,758.1682,761.8372,748.65,754.4863,754.4863,2161487
2022-01-17,754.4863,762.0423,750.4777,761.6552,761.6552,1662039
2022-01-18,761.6552,772.6047,758.9867,772.5012,772.5012,1885210
2022-01-19,772.5012,777.0206,770.0657,774.7119,774.7119,1977905
2022-01-20,774.7119,776.7977,764.818,769.6252,769.6252,1850885
2022-01-21,769.6252,774.7455,766.7616,774.1808,774.1808,1778914
2022-01-24,774.1808,778.0166,772.2083,774.7436,774.7436,1943688
2022-01-25,774.7436,797.4679,769.8493,793.4687,793.4687,2588929
2022-01-26,793.4687,797.9898,785.9642,786.6788,786.6788,2350448
2022-01-27,786.6788,799.3563,786.4822,792.2899,792.2899,1551919
2022-01-28,792.2899,800.3051,789.8301,797.5171,797.5171,1944581
2022-01-31,797.5171,801.1307,783.8812,784.7786,784.7786,1362549
2022-02-01,784.7786,793.2214,784.6149,787.5758,787.5758,1760519
2022-02-02,787.5758,793.3686,782.1201,790.5536,790.5536,2328589
2022-02-03,790.5536,792.7416,789.9268,791.2242,791.2242,1760700
2022-02-04,791.2242,794.6363,775.8216,779.3999,779.3999,1795795
2022-02-07,779.3999,781.7735,755.1792,758.63,758.63,2135365
2022-02-08,758.63,765.0082,752.7369,762.525,762.525,2493312
2022-02-09,762.525,769.1941,757.4397,768.6709,768.6709,787350
2022-02-10,768.6709,771.8048,765.3881,767.1847,767.1847,1154497
2022-02-11,767.1847,772.9616,765.4677,767.795,767.795,1996792
2022-02-14,767.795,779.8779,767.5202,775.8894,775.8894,1566627
2022-02-15,775.8894,786.5086,772.4021,782.4824,782.4824,2201832
2022-02-16,782.4824,793.5236,776.3721,778.5348,778.5348,1969475
2022-02-17,778.5348,784.4339,777.1174,781.7061,781.7061,1758134
