trade_date,open,high,low,close,adjusted_close,volume
2022-01-03,3600.0,3641.6195,3591.9258,3631.4263,3631.4263,1427813
2022-01-04,3631.4263,3650.4669,3600.8426,3608.6801,3608.6801,1686306
2022-01-05,3608.6801,3645.2169,3596.3217,3641.2252,3641.2252,2006164
2022-01-06,3641.2252,3669.5878,3624.4799,3656.0912,3656.0912,2055884
2022-01-07,3656.0912,3657.7544,3639.9581,3651.9069,3651.9069,1678241
2022-01-10,3651.9069,3677.7037,3644.8601,3673.0495,3673.0495,2172386
2022-01-11,3673.0495,3677.6402,3592.5744,3608.905,3608.905,1858733
2022-01-12,3608.905,3633.7912,3602.9636,3628.6375,3628.6375,1954917
2022-01-13,3628.6375,3641.1416,3617.7199,3639.2725,3639.2725,2414734
2022-01-14,3639.2725,3672.7414,3618.1509,3663.0334,3663.0334,1509484
2022-01-17,3663.0334,3709.9798,3656.5809,3682.5747,3682.5747,2311521
2022-01-18,3682.5747,3690.9077,3658.4005,3684.6586,3684.6586,1826419
2022-01-19,3684.6586,3705.5736,3635.9029,3644.6902,3644.6902,2460723
2022-01-20,3644.6902,3683.9189,3644.5688,3663.6043,3663.6043,2277300
2022-01-21,3663.6043,3674.3519,3640.8529,3656.2277,3656.2277,1753998
2022-01-24,3656.2277,3679.6312,3604.3781,3616.5371,3616.5371,2217272
2022-01-25,3616.5371,3635.1551,3590.1956,3604.3141,3604.3141,1963824
2022-01-26,3604.3141,3646.3807,3585.6886,3646.2698,3646.2698,1942740
2022-01-27,3646.2698,3702.7582,3638.7385,3676.7146,3676.7146,1823211
2022-01-28,3676.7146,3702.1678,3672.6748,3684.1338,3684.1338,1757614
2022-01-31,3684.1338,3694.0683,3634.683,3648.6199,3648.6199,3114523
2022-02-01,3648.6199,3691.0088,3614.8073,3668.5589,3668.5589,2234238
2022-02-02,3668.5589,3679.4699,3615.4491,3626.1061,3626.1061,2473402
2022-02-03,3626.1061,3653.8181,3608.6815,3651.7845,3651.7845,1963478
2022-02-04,3651.7845,3662.3512,3505.5567,3520.7807,3520.7807,2546283
2022-02-07,3520.7807,3610.7888,3514.3727,3608.1871,3608.1871,2146771
2022-02-08,3608.1871,3657.17,3577.9761,3647.0397,3647.0397,1711094
2022-02-09,3647.0397,3652.4892,3606.7127,3626.2623,3626.2623,1787897
2022-02-10,3626.2623,3677.7851,3618.8845,3665.5901,3665.5901,2584060
2022-02-11,3665.5901,3692.0681,3654.1142,3687.3319,3687.3319,1890155
2022-02-14,3687.3319,3692.0263,3662.8111,3664.5733,3664.5733,1161812
2022-02-15,3664.5733,3701.7642,3645.7866,3677.8992,3677.8992,1414507
2022-02-16,3677.8992,3689.4713,3605.163,3627.3326,3627.3326,2364301
2022-02-17,3627.3326,3636.6388,3586.5927,3592.3283,3592.3283,1979844
2022-02-18,3592.3283,3635.9614,3586.1671,3617.0219,3617.0219,2893111
2022-02-21,3617.0219,3617.4704,3561.1419,3577.1448,3577.1448,2846345
2022-02-22,3577.1448,3620.1678,3559.4317,3601.35,3601.35,2245697
2022-02-23,3601.35,3617.6656,3600.1411,3614.7948,3614.7948,2263168
2022-02-24,3614.7948,3635.4326,3580.2523,3593.8796,3593.8796,2241913
2022-02-25,3593.8796,3597.3259,3521.5005,3522.7596,3522.7596,2681174
2022-02-28,3522.7596,3580.0594,3513.9939,3572.6006,3572.6006,2286514
2022-03-01,3572.6006,3587.0127,3565.2808,3585.2387,3585.2387,1517958
2022-03-02,3585.2387,3595.1464,3584.0678,3590.012,3590.012,1887257
